id,aps,se,data,tweets,casos,casos_est,casos_estmin,casos_estmax,tmin,rt,prt1,inc,nivel,sum
1870,1.0,201518,2015-05-03,598.0,58.0,58.0,58.0,58.0,21.0,1.4033,0.953869,25.5548,3,1302
354600,5.3,201814,2018-04-01,44.0,19.0,19.0,19.0,19.0,24.4286,1.13977,0.653529,5.15556,2,1302
820435,5.1,202018,2020-04-26,27.0,1.0,1.0,1.0,1.0,,0.239571,0.0553939,0.152468,2,1302
215846,5.2,201116,2011-04-17,,1074.0,1074.0,1074.0,1074.0,23.1429,0.91831,0.0218095,161.456,4,1302
3646,5.2,201231,2012-07-29,82.0,22.0,22.0,22.0,22.0,19.5714,0.631409,0.0423856,3.30729,2,1302
3648,5.2,201233,2012-08-12,63.0,23.0,23.0,23.0,23.0,19.5714,0.896423,0.350355,3.45762,1,1302
3649,5.2,201234,2012-08-19,55.0,22.0,22.0,22.0,22.0,19.0,0.933183,0.406907,3.30729,1,1302
3650,5.2,201235,2012-08-26,63.0,14.0,14.0,14.0,14.0,17.8571,0.624987,0.0785143,2.10464,1,1302
3651,5.2,201236,2012-09-02,53.0,6.0,6.0,6.0,6.0,18.5714,0.308462,0.00266049,0.901987,1,1302
3652,5.2,201237,2012-09-09,72.0,8.0,8.0,8.0,8.0,21.1429,0.565633,0.0901232,1.20265,1,1302
3653,5.2,201238,2012-09-16,62.0,13.0,13.0,13.0,13.0,21.7143,1.33857,0.759323,1.95431,1,1302
3654,5.2,201239,2012-09-23,49.0,9.0,9.0,9.0,9.0,18.7143,0.985611,0.487405,1.35298,1,1302
3655,5.2,201240,2012-09-30,52.0,5.0,5.0,5.0,5.0,19.4286,0.502075,0.0913018,0.751656,1,1302
3656,5.2,201241,2012-10-07,48.0,6.0,6.0,6.0,6.0,20.7143,0.68726,0.231376,0.901987,1,1302
3660,5.2,201245,2012-11-04,53.0,17.0,17.0,17.0,17.0,23.0,1.68417,0.912353,2.55563,2,1302
3661,5.2,201246,2012-11-11,70.0,15.0,15.0,15.0,15.0,21.0,1.29817,0.751817,2.25497,2,1302
3662,5.2,201247,2012-11-18,58.0,15.0,15.0,15.0,15.0,21.5714,1.0723,0.575576,2.25497,2,1302
3663,5.2,201248,2012-11-25,59.0,20.0,20.0,20.0,20.0,23.0,1.30389,0.786594,3.00662,1,1302
3664,5.2,201249,2012-12-02,86.0,22.0,22.0,22.0,22.0,25.2857,1.3253,0.810606,3.30729,1,1302
3665,5.2,201250,2012-12-09,86.0,35.0,35.0,35.0,35.0,25.0,1.77594,0.982038,5.26159,2,1302
3666,5.2,201251,2012-12-16,71.0,34.0,34.0,34.0,34.0,,1.371,0.887046,5.11126,2,1302
3667,5.2,201252,2012-12-23,63.0,27.0,27.0,27.0,27.0,,0.896431,0.338749,4.05894,2,1302
3668,5.2,201301,2012-12-30,96.0,35.0,35.0,35.0,35.0,,1.10291,0.656284,5.26159,2,1302
3669,5.2,201302,2013-01-06,134.0,87.0,87.0,87.0,87.0,24.2,2.54725,1.0,13.0788,2,1302
3670,5.2,201303,2013-01-13,212.0,89.0,89.0,89.0,89.0,23.2857,1.84087,0.999773,13.3795,2,1302
3671,5.2,201304,2013-01-20,195.0,90.0,90.0,90.0,90.0,23.2857,1.26432,0.931566,13.5298,2,1302
3672,5.2,201305,2013-01-27,184.0,137.0,137.0,137.0,137.0,23.8571,1.56134,0.999525,20.5954,3,1302
3673,5.2,201306,2013-02-03,184.0,120.0,120.0,120.0,120.0,23.7143,1.17734,0.88806,18.0397,2,1302
3674,5.2,201307,2013-02-10,224.0,101.0,101.0,101.0,101.0,25.0,0.869808,0.151891,15.1834,2,1302
3675,5.2,201308,2013-02-17,429.0,225.0,225.0,225.0,225.0,26.1429,1.83112,1.0,33.8245,2,1302
3676,5.2,201309,2013-02-24,471.0,303.0,303.0,303.0,303.0,23.5714,2.04813,1.0,45.5503,2,1302
3677,5.2,201310,2013-03-03,473.0,416.0,416.0,416.0,416.0,20.6667,1.91637,1.0,62.5378,2,1302
3678,5.2,201311,2013-03-10,656.0,493.0,493.0,493.0,493.0,25.1429,1.59752,1.0,74.1133,3,1302
3679,5.2,201312,2013-03-17,701.0,531.0,531.0,531.0,531.0,23.2857,1.328,0.999992,79.8259,3,1302
3680,5.2,201313,2013-03-24,852.0,439.0,439.0,439.0,439.0,23.0,0.94025,0.176868,65.9954,4,1302
3681,5.2,201314,2013-03-31,622.0,833.0,833.0,833.0,833.0,23.4286,1.64572,1.0,125.226,4,1302
3682,5.2,201315,2013-04-07,1368.0,804.0,804.0,804.0,804.0,23.1429,1.39319,1.0,120.866,4,1302
3683,5.2,201316,2013-04-14,780.0,720.0,720.0,720.0,720.0,19.5714,1.02437,0.675159,108.238,4,1302
